k1,k2,distance_km
Berlin|Deutschland,Wien|Österreich,680.1505999999999
Berlin|Deutschland,Minsk|Belarus,1109.8522
Berlin|Deutschland,Warschau|Polen,574.0764
Berlin|Deutschland,Hamburg|Deutschland,290.0985
Berlin|Deutschland,Bukarest|Rumänien,1686.9248
Barcelona|Spanien,Berlin|Deutschland,1874.6036000000001
Berlin|Deutschland,Budapest|Ungarn,871.4987
Berlin|Deutschland,München|Deutschland,584.5915
Berlin|Deutschland,Charkiw|Ukraine,1822.6566
Berlin|Deutschland,Prag|Tschechin,347.43870000000004
Berlin|Deutschland,Mailand|Italien,1033.429
Berlin|Deutschland,Sofia|Bulgarien,1635.5707
Berlin|Deutschland,Kasan|Russland,2705.6917999999996
Berlin|Deutschland,Nischni Nowgorod|Russland,2307.0218999999997
Belgrad|Serbien,Berlin|Deutschland,1243.3165
Berlin|Deutschland,Samara|Russland,2888.6275
Berlin|Deutschland,Rostow am Don|Russland,2303.369
Berlin|Deutschland,Ufa|Russland,3202.4775
Berlin|Deutschland,Woronesch|Russland,2153.7792999999997
Berlin|Deutschland,Perm|Russland,3335.2464
Berlin|Deutschland,Köln|Deutschland,573.2276999999999
Berlin|Deutschland,Odessa|Ukraine,1724.5775
Berlin|Deutschland,Wolgograd|Russland,2764.983
Berlin|Deutschland,Dnipro|Ukraine,1835.793
Berlin|Deutschland,Krasnodar|Russland,2651.7699
Amsterdam|Niederlande,Berlin|Deutschland,655.4255
Berlin|Deutschland,Neapel|Italien,1701.781
Berlin|Deutschland,Donezk|Ukraine,2085.2998000000002
Berlin|Deutschland,Marseille|Frankreich,1548.0413999999998
Berlin|Deutschland,Turin|Italien,1149.3303
Berlin|Deutschland,Saratow|Russland,2702.0283999999997
Berlin|Deutschland,Valencia|Spanien,2214.1488
Berlin|Deutschland,Zagreb|Kroatien,1072.9656
Berlin|Deutschland,Frankfurt am Main|Deutschland,551.1634
Berlin|Deutschland,Lwiw (Lemberg)|Ukraine,922.1617
Berlin|Deutschland,Sevilla|Spanien,2784.5015
Berlin|Deutschland,Saragossa|Spanien,2150.547
Berlin|Deutschland,Breslau|Polen,344.1528
Berlin|Deutschland,Ischewsk|Russland,3052.3266
Berlin|Deutschland,Lodz|Polen,473.75640000000004
Athen|Griechenland,Berlin|Deutschland,2334.0316000000003
Berlin|Deutschland,Palermo|Italien,2397.3215
Berlin|Deutschland,Uljanowsk|Russland,2694.4965
Berlin|Deutschland,Stuttgart|Deutschland,638.0652
Berlin|Deutschland,Leipzig|Deutschland,186.0045
Berlin|Deutschland,Vilnius|Litauen,1074.4955
Berlin|Deutschland,Machatschkala|Russland,3223.6595
Berlin|Deutschland,Krywyj Rih|Ukraine,1753.4363999999998
Berlin|Deutschland,Jaroslawl|Russland,2099.6544
Berlin|Deutschland,Tirana|Albanien,1909.949
Berlin|Deutschland,Riga|Lettland,1230.9735
Berlin|Deutschland,Malaga|Spanien,2830.2581
Berlin|Deutschland,Bremen|Deutschland,388.29359999999997
Berlin|Deutschland,Orenburg|Russland,3275.0699
Berlin|Deutschland,Lissabon|Portugal,2788.1946000000003
Berlin|Deutschland,Chisinau|Moldau,1518.5401000000002
Berlin|Deutschland,Dresden|Deutschland,192.57760000000002
Berlin|Deutschland,Genua|Italien,1188.8785
Antwerpen|Belgien,Berlin|Deutschland,729.3829000000001
Berlin|Deutschland,Posen|Polen,273.6587
Berlin|Deutschland,Rjasan|Russland,2015.0818000000002
Berlin|Deutschland,Nabereschnyje Tschelny|Russland,2904.3411
Berlin|Deutschland,Nürnberg|Deutschland,433.7516
Berlin|Deutschland,Skopje|Nordmazedonien,1672.2516
Astrachan|Russland,Berlin|Deutschland,2983.1375
Berlin|Deutschland,Hannover|Deutschland,283.2289
Berlin|Deutschland,Kirow|Russland,2851.028
Berlin|Deutschland,Lyon|Frankreich,1232.2872
Berlin|Deutschland,Pensa|Russland,2458.9816
Berlin|Deutschland,Toulouse|Frankreich,1713.4443999999999
Berlin|Deutschland,Lipezk|Russland,2092.5781
Berlin|Deutschland,Homel|Belarus,1431.6778
Kiew|Ukraine,Madrid|Spanien,3626.2508
Madrid|Spanien,Rom|Italien,1953.0043999999998
Madrid|Spanien,Paris|Frankreich,1268.1756
Madrid|Spanien,Wien|Österreich,2437.8576000000003
Madrid|Spanien,Minsk|Belarus,3390.7028999999998
Madrid|Spanien,Warschau|Polen,2854.9272
Hamburg|Deutschland,Madrid|Spanien,2174.6961
Bukarest|Rumänien,Madrid|Spanien,3321.0179
Barcelona|Spanien,Madrid|Spanien,616.6981
Budapest|Ungarn,Madrid|Spanien,2509.2481000000002
Madrid|Spanien,München|Deutschland,1988.5258000000001
Charkiw|Ukraine,Madrid|Spanien,4103.5073999999995
Madrid|Spanien,Prag|Tschechin,2231.565
Madrid|Spanien,Mailand|Italien,1566.05
Madrid|Spanien,Sofia|Bulgarien,2966.7799
Kasan|Russland,Madrid|Spanien,4986.5426
Madrid|Spanien,Nischni Nowgorod|Russland,4587.8727
Belgrad|Serbien,Madrid|Spanien,2574.4359
Madrid|Spanien,Samara|Russland,5169.4782000000005
Madrid|Spanien,Rostow am Don|Russland,4584.219700000001
Madrid|Spanien,Ufa|Russland,5483.3283
Madrid|Spanien,Woronesch|Russland,4434.630099999999
